<<<<<<< HEAD
29 3 85 26 36 74 40 2 93 33 4 13 80 82 75 38 95 48 98 92 77 10 99 17 23 41 89 22 21 15 96 54 79 6 94 59 12 24 20 8 63 73 97 31 58 71 19 9 53 39 87 61 30 91
=======
29 3 85 26 36 74 40 2 93 33 4 13 80 82 75 38 95 48 98 92 77 10 99 17 23 41 89 22 21 15 96 54 79 6 94 59 12 24 20 8 63 73 97 31 58 71 19 9 53 39 30 91 87 61
>>>>>>> ee77869a8b7fe06ada838d2fc2f03607efdccd8b
29 3
29 85
3 26
3 36
3 74
3 40
26 2
26 93
36 33
36 4
36 13
36 80
74 82
40 75
40 38
2 95
2 48
2 98
2 92
2 77
93 10
93 99
33 17
4 23
82 41
82 89
75 22
38 21
95 15
95 96
95 54
95 79
48 6
48 94
48 59
77 12
77 24
10 20
89 8
22 63
21 73
54 97
6 31
12 58
12 71
24 19
24 9
24 53
58 39
58 30
19 91
39 87
39 61
